,16_53_32,form,id,name,short_name,strength,team_division,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
0,3,,1,Arsenal,ARS,4,,1200,1270,1150,1210,1190,1220,1
1,7,,2,Aston Villa,AVL,3,,1090,1100,1140,1110,1090,1090,2
2,94,,3,Brentford,BRE,3,,1090,1100,1120,1150,1080,1120,130
3,36,,4,Brighton,BHA,3,,1100,1090,1160,1160,1100,1120,131
4,90,,5,Burnley,BUR,2,,1060,1060,1080,1130,1060,1100,43
5,8,,6,Chelsea,CHE,4,,1270,1280,1300,1300,1250,1290,4
6,31,,7,Crystal Palace,CRY,3,,1090,1100,1110,1160,1080,1160,6
7,11,,8,Everton,EVE,3,,1050,1100,1130,1090,1110,1110,7
8,13,,9,Leicester,LEI,3,,1110,1240,1100,1080,1150,1160,26
9,2,,10,Leeds,LEE,2,,1070,1070,1080,1070,1100,1100,9
10,14,,11,Liverpool,LIV,5,,1350,1360,1300,1350,1340,1350,10
11,43,,12,Man City,MCI,5,,1350,1370,1340,1360,1340,1360,11
12,1,,13,Man Utd,MUN,4,,1170,1250,1170,1190,1190,1200,12
13,4,,14,Newcastle,NEW,3,,1110,1190,1050,1030,1040,1070,23
14,45,,15,Norwich,NOR,2,,1030,1040,1040,1040,1040,1030,14
15,20,,16,Southampton,SOU,3,,1060,1090,1090,1140,1120,1090,20
16,6,,17,Spurs,TOT,4,,1210,1270,1190,1200,1210,1210,21
17,57,,18,Watford,WAT,2,,1060,1030,1090,1040,1120,1070,33
18,21,,19,West Ham,WHU,3,,1110,1170,1110,1150,1160,1180,25
19,39,,20,Wolves,WOL,3,,1100,1100,1150,1160,1080,1100,38
